,Location,Partner Organizations,Latitude,Longitude,nemo_gridY,nemo_gridX,nemo_bathymetry,nemo_latitude,nemo_longitude,nemo_distance
0,Bamfield,Bamfield Marine Sciences Centre,48.834409,-125.136888,465.0,0.0,10.125,48.69297409057617,-124.94625091552734,21.037480988670442
1,Cortes Bay,Friends of Cortes Island Society,50.06104,-124.929541,729.0,173.0,20.875,50.058692932128906,-124.92794799804688,0.2846810516878549
2,Cowichan Bay,Cowichan Estuary Restoration & Conservation Association,48.743411,-123.627967,381.0,200.0,9.6875,48.745765686035156,-123.62794494628906,0.2618341344059937
3,Descanso Bay,Gabriola Island Community,49.177887,-123.858146,481.0,220.0,26.25,49.17755126953125,-123.85850524902344,0.04555842229129763
4,False Bay,Lasqueti Island Nature Conservancy,49.486124,-124.359048,577.0,185.0,18.8125,49.48772430419922,-124.3608169555664,0.21907159097028445
5,Ford Cove,"Hornby Island Diving, Conservancy Hornby Island, Hornby Island Natural History Centre",49.497028,-124.676667,601.0,140.0,18.75,49.49684524536133,-124.67424011230469,0.17644359783549185
6,Heather Marina,False Creek Friends Society,49.269518,-123.120009,450.0,337.0,4.125,49.27677917480469,-123.1474380493164,2.1475250116363336
7,Heriot Bay,Hakai Institute and Quadra Island Community,50.102299,-125.201637,757.0,138.0,9.3125,50.10281753540039,-125.20217895507812,0.06941605098281306
8,Hope Bay,Pender Islands Conservancy,48.803253,-123.275209,367.0,260.0,28.5,48.80498123168945,-123.26912689208984,0.4851203064837348
9,Horseshoe Bay,Ocean Wise and Howe Sound Marine Stewardship Initiative,49.375655,-123.273128,478.0,331.0,30.125,49.37500762939453,-123.27268981933594,0.07866479022974368
10,James Island Pier,Tsawout First Nation Fisheries Department,48.598934,-123.388668,336.0,217.0,12.375,48.600521087646484,-123.38922119140625,0.1811037926133324
11,Miners Bay,Mayne Island Conservancy,48.852116,-123.301532,378.0,261.0,9.3125,48.85024642944336,-123.3007583618164,0.21545558409195897
12,Pacific Biological Station,Fisheries and Oceans Canada,49.210394,-123.956589,494.0,210.0,15.8125,49.20964431762695,-123.95386505126953,0.21471645229315953
13,Pacific Science Enterprise Centre,Tsleil-Waututh Nation and Fisheries and Oceans Canada,49.340105,-123.232975,468.0,332.0,25.875,49.33779525756836,-123.23389434814453,0.2653286366861059
14,Pender Harbour,Pender Harbour Ocean Discovery Station,49.623357,-124.025677,580.0,252.0,5.8125,49.6251220703125,-124.0238265991211,0.23724734218824842
15,Port of San Juan,Pacheedaht First Nation,,,,,,,,
16,Retreat Cove,Galiano Conservation Association,48.940555,-123.501321,409.0,243.0,15.875,48.93813705444336,-123.49812316894531,0.3561475341405832
17,Silva Bay,Gabriola Power Squadron,49.149062,-123.697133,464.0,240.0,6.1875,49.14867401123047,-123.69783782958984,0.06700178473547908
18,Surge Narrows,Surge Narrows School,50.227191,-125.112238,775.0,166.0,52.0625,50.22505569458008,-125.115478515625,0.33093300404565673
19,Whaler Bay,Institute for Multidisciplinary Ecological Research in the Salish Sea,48.884619,-123.327312,387.0,261.0,5.0,48.88570785522461,-123.33090209960938,0.2890792998923645
20,Lyall Harbour,Saturna Ecological Education Centre,48.798,-123.20032,361.0,269.0,9.125,48.798439025878906,-123.20220184326172,0.14622609780009013
21,Takush Harbour,Gwa'sala-'Nakwaxda'xw Nation Guardians,51.284665,-127.641405,897.0,45.0,157.375,50.47751235961914,-126.15119171142578,137.7832116790342
22,Sooke,T'sou-ke Nation,48.37,-123.727222,315.0,139.0,6.75,48.36720657348633,-123.72489929199219,0.3548540152920402
23,Indian Arm,Wigwam Inn,49.461387,-122.886246,468.0,394.0,10.0,49.45406723022461,-122.9122543334961,2.0484627659334813
24,Gibsons Harbour,Nicholas Sonntag Marine Education Centre,49.40093,-123.504312,499.0,300.0,17.0625,49.39887619018555,-123.50394439697266,0.22991724008845335
25,Blunden Harbour,Gwa'sala-'Nakwaxda'xw Nation Guardians,50.908664,-127.288306,897.0,45.0,157.375,50.47751235961914,-126.15119171142578,93.34727449959252
26,Baynes Sound,Association for Denman Island Marine Stewards,49.53396,-124.821826,619.0,123.0,17.5625,49.53524398803711,-124.8224868774414,0.1505277966880624
27,Campbell River Aquarium,Campbell River Aquarium,50.021321,-125.235467,743.0,123.0,8.875,50.020111083984375,-125.23423767089844,0.16066688817723643
28,Alberni Inlet,Fisheries and Oceans Canada,49.231972,-124.814506,580.0,136.0,4.0,49.40697479248047,-124.62494659423828,23.821059825691034
29,Powell River Marina,Powell River Volunteer,49.835512,-124.529777,657.0,204.0,33.3125,49.83572769165039,-124.52890014648438,0.06730515684725469
30,Prince Rupert,Fisheries and Oceans Canada,54.319661,-130.318203,897.0,45.0,157.375,50.47751235961914,-126.15119171142578,512.1038470202669
31,Sechelt Inlet,shishalh First Nation Fisheries Technicians,49.484078,-123.762361,531.0,272.0,12.3125,49.471343994140625,-123.75630950927734,1.4819196512870203
